Text,Noun,Number of Nouns,Verb,Number of Verbs,Adjective,Number of Adjectives
University of Pennsylvania,[],0,[],0,[],0
Harvard University,[],0,[],0,[],0
Northwestern University,[],0,[],0,[],0
Columbia Business School,[],0,[],0,[],0
Central Saint Martins,[Martins],1,[],0,[],0
Northwestern University,[],0,[],0,[],0
University of Central Florida,[],0,[],0,[],0
"Ahmadu Bello University, Zaria-Nigeria",[],0,[],0,[],0
Hanoi University of Science and Technology,[],0,[],0,[],0
Universidad Anáhuac,[],0,[],0,[],0
Stockholm School of Economics,[],0,[],0,[],0
Stanford University,[],0,[],0,[],0
The Institute of Chartered Accountants of India,[],0,[],0,[],0
University of Waterloo,[],0,[],0,[],0
Harvard Business School,[],0,[],0,[],0
London School of Economics and Political Science,[],0,[],0,[],0
"UC Berkeley, Haas Business School",[],0,[],0,[],0
Indian Institute of Management Lucknow,[],0,[],0,[],0
Virginia Tech,[],0,[],0,[],0
Harvard University,[],0,[],0,[],0
Harvard University,[],0,[],0,[],0
University of Cambridge,[],0,[],0,[],0
IDC Herzliya,[],0,[],0,[],0
Albert Einstein College of Medicine,[],0,[],0,[],0
University of Maryland,[],0,[],0,[],0
University College London (UCL),[],0,[],0,[],0
San Diego State University,[],0,[],0,[],0
University of Mumbai,[],0,[],0,[],0
Stanford Graduate School of Business,[],0,[],0,[],0
Massachusetts Institute of Technology,[],0,[],0,[],0
Massachusetts Institute of Technology,[],0,[],0,[],0
Indian Institute of Technology Delhi,[],0,[],0,[],0
Harvard University,[],0,[],0,[],0
Georgetown University,[],0,[],0,[],0
University of California Berkeley,[],0,[],0,[],0
Indian Institute of Management Lucknow,[],0,[],0,[],0
Indian Institute of Technology Bombay (IIT),[],0,[],0,[],0
"University of California, Santa Barbara",[],0,[],0,[],0
University of Amsterdam,[],0,[],0,[],0
Columbia University,[],0,[],0,[],0
Wichita State University,[],0,[],0,[],0
Indian Institute of Technology Delhi,[],0,[],0,[],0
Caltech,[Caltech],1,[],0,[],0
Indian Institute of Technology Bombay (IIT),[],0,[],0,[],0
Imperial College London,[],0,[],0,[],0
Columbia University,[],0,[],0,[],0
Carnegie Mellon University,[],0,[],0,[],0
Marymount California University,[],0,[],0,[],0
University of Southern California,[],0,[],0,[],0
Cornell University,[],0,[],0,[],0
Ryerson University,[],0,[],0,[],0
University of Cape Town,[],0,[],0,[],0
University of Michigan,[],0,[],0,[],0
PSG College of Technology,[],0,[],0,[],0
Rochester Institute of Technology,[],0,[],0,[],0
Indian Institute of Technology Bombay (IIT),[],0,[],0,[],0
Queens University of Charlotte,[],0,[],0,[],0
Emory University,[],0,[],0,[],0
Belmont University,[],0,[],0,[],0
University of Tartu,[],0,[],0,[],0
Northeastern University,[],0,[],0,[],0
Washington University School of Law,[],0,[],0,[],0
Duke University,[],0,[],0,[],0
Indian Institute of Management (IIM) Ahmedabad,[],0,[],0,[],0
Stanford Graduate School of Business,[],0,[],0,[],0
Harvard Law School,[],0,[],0,[],0
Harvard University,[],0,[],0,[],0
Duke University School of Medicine,[],0,[],0,[],0
ESSEC Business School,[],0,[],0,[],0
University of Copenhagen,[],0,[],0,[],0
University of Southern California,[],0,[],0,[],0
Harvard Business School,[],0,[],0,[],0
ESSEC Business School,[],0,[],0,[],0
College of Charleston,[],0,[],0,[],0
University of Calgary,[],0,[],0,[],0
Stockholm School of Economics,[],0,[],0,[],0
Harvard University,[],0,[],0,[],0
University of Illinois Urbana-Champaign,[],0,[],0,[],0
New York Medical College,[],0,[],0,[],0
The University of Texas at Austin,[],0,[],0,[],0
Bowdoin College,[],0,[],0,[],0
Harvard Business School,[],0,[],0,[],0
University of California Berkeley,[],0,[],0,[],0
Stanford University,[],0,[],0,[],0
"Birla Institute of Technology and Science, Pilani",[],0,[],0,[],0
EM Lyon Business School,[],0,[],0,[],0
Stanford University,[],0,[],0,[],0
Tel Aviv University,[],0,[],0,[],0
University of Warwick,[],0,[],0,[],0
Concordia University,[],0,[],0,[],0
